path,label,code,bbox
./data/hyper-kvasir/segmented-images/images,polyp,eac4a696-9425-49d6-81f2-ed905353f723,"[13, 365, 204, 575]"
./data/hyper-kvasir/segmented-images/images,polyp,026e9707-e74d-434f-98f4-6ceb2c707577,"[54, 404, 229, 549]"
./data/hyper-kvasir/segmented-images/images,polyp,d58e96eb-fa26-4b19-93cb-e047a52f587b,"[173, 235, 447, 510]"
./data/kvasir-instrument/images,instrument,ckcud8gmy000g3b5yo7x751p3,"[394, 562, 407, 544]"
./data/hyper-kvasir/segmented-images/images,polyp,bfe9b1ad-ab1c-4f6b-a680-9944ed9a30ca,"[321, 451, 191, 277]"
./data/hyper-kvasir/segmented-images/images,polyp,a7737c64-c723-4218-9b83-b69a87512340,"[67, 323, 135, 446]"
./data/kvasir-instrument/images,instrument,ckcx9rbcx00213b5ynzqd6e0j,"[330, 560, 357, 478]"
./data/hyper-kvasir/segmented-images/images,polyp,9da08cc4-d0a2-4071-9d23-feb9b1ad422b,"[352, 499, 250, 281]"
./data/hyper-kvasir/segmented-images/images,polyp,5166c1a5-cb31-453d-a319-d30c80d9b78f,"[78, 520, 195, 478]"
./data/kvasir-instrument/images,instrument,ckd03cz3z00143b5yxs2cqvnv,"[9, 386, 63, 284]"
./data/hyper-kvasir/segmented-images/images,polyp,822a0702-ca22-4b76-abb6-e8c9ba8425d4,"[83, 425, 231, 555]"
./data/hyper-kvasir/segmented-images/images,polyp,246013bf-447d-4277-9864-934451d9f48c,"[283, 479, 89, 382]"
./data/hyper-kvasir/segmented-images/images,polyp,6af2a99d-9cde-4b2e-9ee8-d7982930091e,"[291, 429, 297, 473]"
./data/hyper-kvasir/segmented-images/images,polyp,c053a2f8-0fda-4a25-8f49-46c548c87840,"[216, 530, 275, 570]"
./data/kvasir-instrument/images,instrument,ckcvuut2p00093b5yl3lczikm,"[0, 826, 22, 573]"
./data/kvasir-instrument/images,instrument,ckcuhfz2o00143b5ygn8nbqby,"[382, 561, 461, 640]"
./data/hyper-kvasir/segmented-images/images,polyp,729cf705-7f48-4f47-bd71-db6d7c7e7643,"[211, 314, 284, 455]"
./data/hyper-kvasir/segmented-images/images,polyp,1ad77916-f7a5-43d8-9d62-5383389dc442,"[160, 530, 457, 622]"
./data/kvasir-instrument/images,instrument,ckd01b91d000o3b5yk4p8hydx,"[25, 389, 81, 538]"
./data/kvasir-instrument/images,instrument,ckd4gt4r7000n3b5y9pjfuu7v,"[22, 236, 125, 326]"
./data/kvasir-instrument/images,instrument,ckd4k3fo300023b5ykc6tnx4q,"[22, 411, 419, 741]"
./data/hyper-kvasir/segmented-images/images,polyp,665a5e76-2496-46ba-acd5-a472672160d3,"[16, 435, 137, 503]"
./data/hyper-kvasir/segmented-images/images,polyp,3da0bbb2-1889-4ecf-b491-0ea55d1cb6e3,"[67, 243, 227, 376]"
./data/kvasir-instrument/images,instrument,ckd03pyh7001n3b5y93mingxo,"[21, 333, 280, 665]"
./data/hyper-kvasir/segmented-images/images,polyp,639d7e51-7411-4413-ba53-13b73e932f16,"[205, 503, 306, 543]"
./data/kvasir-instrument/images,instrument,ckd4imrbk000b3b5yqsqc6dks,"[21, 324, 395, 507]"
./data/hyper-kvasir/segmented-images/images,polyp,e9f9891a-154b-4581-be44-402b7630d323,"[308, 494, 401, 530]"
./data/hyper-kvasir/segmented-images/images,polyp,68795e26-a454-4568-84ca-405ec7f0b8b8,"[486, 1013, 295, 1208]"
./data/kvasir-instrument/images,instrument,ckd03mudr001k3b5y173ljv9y,"[25, 365, 84, 515]"
./data/hyper-kvasir/segmented-images/images,polyp,5b6887fc-de6d-453e-824d-9215666bdba9,"[346, 531, 147, 376]"
./data/hyper-kvasir/segmented-images/images,polyp,6b4061ed-b6a5-44ac-8408-5b9abb80f461,"[139, 277, 285, 371]"
